course_number,launch_month,launch_day,course_title,instructors,course_subject,year,honor_code_certificates,participants,audited,certified,percent_played_video,percent_posted_forum,percent_grade_higher_than_zero,total_course_hours_per_1000,median_hours_for_certification,median_age,percent_male,percent_female,percent_bachelor_degree_or_higher,2012,2013,2014,2015,2016
SW12.9x,11,2,China and Communism,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",4,1,515,192,60,74.17,11.07,11.65,1.95,10.3,27,68.67,31.33,74.94,NA,NA,NA,HarvardX,NA
VJx,11,10,"Visualizing Japan (1850s-1930s): Westernization, Protest, Modernity","Andrew Gordon, John Dower, Shigeru Miyagawa","Humanities, History, Design, Religion, and Education",4,1,4842,770,249,68.26,7.43,5.14,18.37,25.89,26,58.87,41.13,65.96,NA,NA,NA,HarvardX,NA
3.032.3x,11,11,Mechanical Behavior of Materials: Time Dependent Behavior and Failure,Lorna J. Gibson,"Science, Technology, Engineering, and Mathematics",4,1,2075,753,179,53.69,4.24,15.71,14.81,43.47,25,85.25,14.75,75.33,NA,NA,NA,MITx,NA
PH525.2x,11,15,Data Analysis for Genomics: Matrix Algebra and Linear Models,Rafael Irizarry,"Government, Health, and Social Science",4,1,3654,1850,444,54.71,1.7,12.15,10.6,11.25,29,74.66,25.34,84.27,NA,NA,NA,HarvardX,NA
MUS24x,11,16,First Nights: Handel’s Messiah and Baroque Oratorio,Tom Kelly,"Humanities, History, Design, Religion, and Education",4,1,3806,1790,478,78.09,14.61,12.56,12.87,8.41,36,52.87,47.13,71.11,NA,NA,NA,HarvardX,NA
8.421.3x,11,16,Atomic and Optical Physics: Atom-Light Interactions 1 -- Matrix elements and quantized field,"Wolfgang Ketterle, David E. Pritchard, Isaac Chuang","Science, Technology, Engineering, and Mathematics",4,1,790,290,63,55.06,6.58,17.09,6.44,56.85,26,87.2,12.8,71.74,NA,NA,NA,MITx,NA
6.004.2x,11,17,Computation Structures: Computer Architecture,"Chris Terman, Steve Ward, Silvina Hanono Wachman",Computer Science,4,1,8495,1161,406,49.38,4.13,7.68,56.13,80.09,25,88.58,11.42,61.03,NA,NA,NA,MITx,NA
24.09x,11,17,Philosophy: Minds and Machines,Alex Byrne,"Humanities, History, Design, Religion, and Education",4,1,10837,997,383,61.87,7.93,8.41,94.63,73.07,29,73.34,26.66,67.25,NA,NA,NA,MITx,NA
18.01.2x,12,1,Calculus: Integration,David Jerison,"Science, Technology, Engineering, and Mathematics",4,1,7260,1216,336,59.39,5.99,17.41,114.85,170.68,25,81.46,18.54,51.52,NA,NA,NA,MITx,NA
PH557x,12,3,Lessons from Ebola: Preventing the Next Pandemic,Ashish Jha,"Government, Health, and Social Science",4,1,3072,1479,616,70.54,14.71,39.62,14.21,12.82,27,45.49,54.51,70.64,NA,NA,NA,HarvardX,NA
