course_number,launch_month,launch_day,course_title,instructors,course_subject,year,honor_code_certificates,participants,audited,certified,percent_played_video,percent_posted_forum,percent_grade_higher_than_zero,total_course_hours_per_1000,median_hours_for_certification,median_age,percent_male,percent_female,percent_bachelor_degree_or_higher,2012,2013,2014,2015,2016
ENGSCI137x,6,8,Energy Within Environmental Constraints,David Keith,"Science, Technology, Engineering, and Mathematics",4,0,8017,1515,339,70.89,17.28,29.46,94.63,94.35,27,68.41,31.59,74.91,NA,NA,NA,NA,HarvardX
10.03x,6,14,Making Biologic Medicines for Patients: The Principles of Biopharmaceutical Manufacturing,"J. Christopher Love, Anthony J. Sinskey, Dr.  Stacy L. Springs, Dr. Paul W. Barone, Betsy Skrip, Nicholas Mozdzierz, Eric Miller","Government, Health, and Social Science",4,0,2604,928,207,70.01,20.01,43.74,17.5,25.22,26,55.66,44.34,72.52,NA,NA,NA,NA,MITx
2.01x,6,22,Elements of Structures,"Simona Socrate, Alexie M. Kolpak","Science, Technology, Engineering, and Mathematics",4,0,4014,515,46,66.87,5.75,11.96,27.31,75.91,25,86.64,13.36,64.59,NA,NA,NA,NA,MITx
LAUNCHx,6,27,Becoming an Entrepreneur,Laurie Stach,"Government, Health, and Social Science",4,0,22959,3969,320,68.26,25.01,26.01,37.86,13.39,27,74.69,25.31,65.51,NA,NA,NA,NA,MITx
6.002.1x,6,28,Circuits and Electronics: Basic Circuit Analysis,"Anant Agarwal, Gerald Sussman, Piotr Mitros, Chris Terman, Bonnie Lam","Science, Technology, Engineering, and Mathematics",4,0,12218,1518,18,72.14,2.5,0.15,56.54,74.74,24,85.89,14.11,51.66,NA,NA,NA,NA,MITx
6.002.2x,6,28,"Circuits and Electronics: Amplification, Speed, and Delay","Anant Agarwal, Gerald Sussman, Piotr Mitros, Chris Terman, Bonnie Lam","Science, Technology, Engineering, and Mathematics",4,0,1645,281,2,53.43,1.88,0.12,7.09,45.38,23,88.69,11.31,54.7,NA,NA,NA,NA,MITx
3.15.2x,6,29,Optical Materials and Devices,Caroline Ross,"Science, Technology, Engineering, and Mathematics",4,0,2335,792,65,50.71,4.03,13.83,11.1,41.1,24,82.87,17.13,63.95,NA,NA,NA,NA,MITx
HDS3221.5x,7,5,World Religions Through their Scriptures: Hinduism,Neelima Shukla-Bhatt,"Humanities, History, Design, Religion, and Education",4,0,4553,1051,70,73.34,16.65,1.54,18.76,26.74,31,56.97,43.03,74.39,NA,NA,NA,NA,HarvardX
11.133x,7,14,Implementation and Evaluation of Educational Technology,"Eric Klopfer, Elizabeth Huttner-Loan","Humanities, History, Design, Religion, and Education",4,0,2402,1232,128,59.62,0,24.31,8.59,23.6,34,58.2,41.8,86.84,NA,NA,NA,NA,MITx
MUS24.4x,7,21,First Nights: Symphonie Fantastique,Tom Kelly,"Humanities, History, Design, Religion, and Education",4,0,615,305,20,80.81,8.78,3.25,1.71,5.93,38,56.82,43.18,74.66,NA,NA,NA,NA,HarvardX
GSE4x,7,25,Introduction to Family Engagement in Education,Karen Mapp,"Humanities, History, Design, Religion, and Education",4,0,2871,267,20,70.11,0,0.7,4.26,11.33,34,25.24,74.76,82.31,NA,NA,NA,NA,HarvardX
6.302.0x,8,1,Introduction to Control System Design,"Jacob White, Joe Steinmeyer","Science, Technology, Engineering, and Mathematics",4,0,3937,974,49,12.27,4.72,8.23,15.62,58.5,24,91.17,8.83,61.32,NA,NA,NA,NA,MITx
6.302.1x,8,1,Introduction to State Space Control,"Jacob White, Joe Steinmeyer","Science, Technology, Engineering, and Mathematics",4,0,1431,208,8,0,3.84,5.73,3.22,62.38,25,93.44,6.56,72.31,NA,NA,NA,NA,MITx
3.15.3x,8,3,Magnetic Materials and Devices,Caroline Ross,"Science, Technology, Engineering, and Mathematics",4,0,1294,364,38,49.92,4.4,14.3,6.87,40.59,25,85.95,14.05,65.78,NA,NA,NA,NA,MITx
